county,precinct,office,office,party,candidate,votes,election_day,mail,provisional
Wayne,LAKE TOWNSHIP,State House,139,,Over Votes,1,,,
Wayne,LAKE TOWNSHIP,State House,139,,Under Votes,75,,,
Wayne,LEBANON TOWNSHIP,Registered Voters,,,,540,,,
Wayne,LEBANON TOWNSHIP,Ballots Cast,,,,449,,,
Wayne,LEBANON TOWNSHIP,President,,DEM,KAMALA D HARRIS,95,56,39,0
Wayne,LEBANON TOWNSHIP,President,,REP,DONALD J TRUMP,346,254,91,1
Wayne,LEBANON TOWNSHIP,President,,LIB,CHASE OLIVER,1,1,0,0
Wayne,LEBANON TOWNSHIP,President,,GRN,JILL STEIN,2,1,1,0
Wayne,LEBANON TOWNSHIP,President,,,Write-ins,2,1,1,0
Wayne,LEBANON TOWNSHIP,President,,,Over Votes,2,,,
Wayne,LEBANON TOWNSHIP,President,,,Under Votes,1,,,
Wayne,LEBANON TOWNSHIP,U.S. Senate,,DEM,ROBERT P CASEY JR,103,65,38,0
Wayne,LEBANON TOWNSHIP,U.S. Senate,,REP,DAVE MCCORMICK,333,240,92,1
Wayne,LEBANON TOWNSHIP,U.S. Senate,,LIB,JOHN C THOMAS,6,5,1,0
Wayne,LEBANON TOWNSHIP,U.S. Senate,,GRN,LEILA HAZOU,3,2,1,0
Wayne,LEBANON TOWNSHIP,U.S. Senate,,CST,MARTY SELKER,2,2,0,0
Wayne,LEBANON TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0,0
Wayne,LEBANON TOWNSHIP,U.S. Senate,,,Over Votes,1,,,
Wayne,LEBANON TOWNSHIP,U.S. Senate,,,Under Votes,1,,,
Wayne,LEBANON TOWNSHIP,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,85,51,33,1
Wayne,LEBANON TOWNSHIP,ATTORNEY GENERAL,,REP,DAVE SUNDAY,348,252,96,0
Wayne,LEBANON TOWNSHIP,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,4,3,1,0
Wayne,LEBANON TOWNSHIP,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,6,6,0,0
Wayne,LEBANON TOWNSHIP,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,2,2,0,0
Wayne,LEBANON TOWNSHIP,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,0,0,0,0
Wayne,LEBANON TOWNSHIP,ATTORNEY GENERAL,,,Write-ins,0,0,0,0
Wayne,LEBANON TOWNSHIP,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,LEBANON TOWNSHIP,ATTORNEY GENERAL,,,Under Votes,3,,,
Wayne,LEBANON TOWNSHIP,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,79,46,33,0
Wayne,LEBANON TOWNSHIP,AUDITOR GENERAL,,REP,TIM DEFOOR,340,245,94,1
Wayne,LEBANON TOWNSHIP,AUDITOR GENERAL,,LIB,REECE SMITH,10,9,1,0
Wayne,LEBANON TOWNSHIP,AUDITOR GENERAL,,ASP,ERIC K ANTON,0,0,0,0
Wayne,LEBANON TOWNSHIP,AUDITOR GENERAL,,CST,BOB GOODRICH,5,5,0,0
Wayne,LEBANON TOWNSHIP,AUDITOR GENERAL,,,Write-ins,1,1,0,0
Wayne,LEBANON TOWNSHIP,AUDITOR GENERAL,,,Over Votes,0,,,
Wayne,LEBANON TOWNSHIP,AUDITOR GENERAL,,,Under Votes,13,,,
Wayne,LEBANON TOWNSHIP,STATE TREASURER,,DEM,ERIN MCCLELLAND,78,46,32,0
Wayne,LEBANON TOWNSHIP,STATE TREASURER,,REP,STACY GARRITY,347,250,96,1
Wayne,LEBANON TOWNSHIP,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,7,6,1,0
Wayne,LEBANON TOWNSHIP,STATE TREASURER,,CST,TROY BOWMAN,2,2,0,0
Wayne,LEBANON TOWNSHIP,STATE TREASURER,,FWD,CHRIS FOSTER,2,2,0,0
Wayne,LEBANON TOWNSHIP,STATE TREASURER,,,Write-ins,0,0,0,0
Wayne,LEBANON TOWNSHIP,STATE TREASURER,,,Over Votes,0,,,
Wayne,LEBANON TOWNSHIP,STATE TREASURER,,,Under Votes,12,,,
Wayne,LEBANON TOWNSHIP,U.S. House,8,DEM,MATT CARTWRIGHT,108,65,43,0
Wayne,LEBANON TOWNSHIP,U.S. House,8,REP,ROB BRESNAHAN JR,333,243,89,1
Wayne,LEBANON TOWNSHIP,U.S. House,8,,Write-ins,0,0,0,0
Wayne,LEBANON TOWNSHIP,U.S. House,8,,Over Votes,0,,,
Wayne,LEBANON TOWNSHIP,U.S. House,8,,Under Votes,8,,,
Wayne,LEBANON TOWNSHIP,State House,111,REP,JONATHAN FRITZ,396,281,114,1
Wayne,LEBANON TOWNSHIP,State House,111,,Write-ins,11,3,8,0
Wayne,LEBANON TOWNSHIP,State House,111,,Over Votes,0,,,
Wayne,LEBANON TOWNSHIP,State House,111,,Under Votes,41,,,
Wayne,LEHIGH TOWNSHIP,Registered Voters,,,,1556,,,
Wayne,LEHIGH TOWNSHIP,Ballots Cast,,,,1171,,,
Wayne,LEHIGH TOWNSHIP,President,,DEM,KAMALA D HARRIS,433,267,161,5
Wayne,LEHIGH TOWNSHIP,President,,REP,DONALD J TRUMP,713,553,155,5
Wayne,LEHIGH TOWNSHIP,President,,LIB,CHASE OLIVER,3,3,0,0
Wayne,LEHIGH TOWNSHIP,President,,GRN,JILL STEIN,8,7,1,0
Wayne,LEHIGH TOWNSHIP,President,,,Write-ins,2,1,1,0
Wayne,LEHIGH TOWNSHIP,President,,,Over Votes,4,,,
Wayne,LEHIGH TOWNSHIP,President,,,Under Votes,8,,,
Wayne,LEHIGH TOWNSHIP,U.S. Senate,,DEM,ROBERT P CASEY JR,431,265,161,5
Wayne,LEHIGH TOWNSHIP,U.S. Senate,,REP,DAVE MCCORMICK,685,531,149,5
Wayne,LEHIGH TOWNSHIP,U.S. Senate,,LIB,JOHN C THOMAS,17,16,1,0
Wayne,LEHIGH TOWNSHIP,U.S. Senate,,GRN,LEILA HAZOU,15,12,3,0
Wayne,LEHIGH TOWNSHIP,U.S. Senate,,CST,MARTY SELKER,3,2,1,0
Wayne,LEHIGH TOWNSHIP,U.S. Senate,,,Write-ins,1,1,0,0
Wayne,LEHIGH TOWNSHIP,U.S. Senate,,,Over Votes,4,,,
Wayne,LEHIGH TOWNSHIP,U.S. Senate,,,Under Votes,15,,,
Wayne,LEHIGH TOWNSHIP,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,408,248,156,4
Wayne,LEHIGH TOWNSHIP,ATTORNEY GENERAL,,REP,DAVE SUNDAY,687,533,149,5
Wayne,LEHIGH TOWNSHIP,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,12,10,2,0
Wayne,LEHIGH TOWNSHIP,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,15,13,2,0
Wayne,LEHIGH TOWNSHIP,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,12,10,2,0
Wayne,LEHIGH TOWNSHIP,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,2,2,0,0
Wayne,LEHIGH TOWNSHIP,ATTORNEY GENERAL,,,Write-ins,1,1,0,0
Wayne,LEHIGH TOWNSHIP,ATTORNEY GENERAL,,,Over Votes,2,,,
Wayne,LEHIGH TOWNSHIP,ATTORNEY GENERAL,,,Under Votes,28,,,
Wayne,LEHIGH TOWNSHIP,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,389,237,148,4
Wayne,LEHIGH TOWNSHIP,AUDITOR GENERAL,,REP,TIM DEFOOR,683,530,148,5
Wayne,LEHIGH TOWNSHIP,AUDITOR GENERAL,,LIB,REECE SMITH,24,19,5,0
Wayne,LEHIGH TOWNSHIP,AUDITOR GENERAL,,ASP,ERIC K ANTON,3,2,1,0
Wayne,LEHIGH TOWNSHIP,AUDITOR GENERAL,,CST,BOB GOODRICH,28,24,4,0
Wayne,LEHIGH TOWNSHIP,AUDITOR GENERAL,,,Write-ins,0,0,0,0
Wayne,LEHIGH TOWNSHIP,AUDITOR GENERAL,,,Over Votes,1,,,
Wayne,LEHIGH TOWNSHIP,AUDITOR GENERAL,,,Under Votes,39,,,
Wayne,LEHIGH TOWNSHIP,STATE TREASURER,,DEM,ERIN MCCLELLAND,388,234,150,4
Wayne,LEHIGH TOWNSHIP,STATE TREASURER,,REP,STACY GARRITY,704,547,152,5
Wayne,LEHIGH TOWNSHIP,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,20,16,4,0
Wayne,LEHIGH TOWNSHIP,STATE TREASURER,,CST,TROY BOWMAN,6,5,1,0
Wayne,LEHIGH TOWNSHIP,STATE TREASURER,,FWD,CHRIS FOSTER,5,5,0,0
Wayne,LEHIGH TOWNSHIP,STATE TREASURER,,,Write-ins,0,0,0,0
Wayne,LEHIGH TOWNSHIP,STATE TREASURER,,,Over Votes,1,,,
Wayne,LEHIGH TOWNSHIP,STATE TREASURER,,,Under Votes,43,,,
Wayne,LEHIGH TOWNSHIP,U.S. House,8,DEM,MATT CARTWRIGHT,449,282,162,5
Wayne,LEHIGH TOWNSHIP,U.S. House,8,REP,ROB BRESNAHAN JR,694,533,156,5
Wayne,LEHIGH TOWNSHIP,U.S. House,8,,Write-ins,2,2,0,0
Wayne,LEHIGH TOWNSHIP,U.S. House,8,,Over Votes,1,,,
Wayne,LEHIGH TOWNSHIP,U.S. House,8,,Under Votes,25,,,
Wayne,LEHIGH TOWNSHIP,State House,139,DEM,ROBIN SCHOOLEY SKIBBER,401,251,146,4
Wayne,LEHIGH TOWNSHIP,State House,139,REP,JEFF OLSOMMER,716,551,161,4
Wayne,LEHIGH TOWNSHIP,State House,139,,Write-ins,3,3,0,0
Wayne,LEHIGH TOWNSHIP,State House,139,,Over Votes,1,,,
Wayne,LEHIGH TOWNSHIP,State House,139,,Under Votes,46,,,
Wayne,MANCHESTER TOWNSHIP,Registered Voters,,,,612,,,
Wayne,MANCHESTER TOWNSHIP,Ballots Cast,,,,488,,,
Wayne,MANCHESTER TOWNSHIP,President,,DEM,KAMALA D HARRIS,115,64,50,1
Wayne,MANCHESTER TOWNSHIP,President,,REP,DONALD J TRUMP,368,281,83,4
Wayne,MANCHESTER TOWNSHIP,President,,LIB,CHASE OLIVER,2,2,0,0
Wayne,MANCHESTER TOWNSHIP,President,,GRN,JILL STEIN,1,0,1,0
Wayne,MANCHESTER TOWNSHIP,President,,,Write-ins,1,1,0,0
Wayne,MANCHESTER TOWNSHIP,President,,,Over Votes,1,,,
Wayne,MANCHESTER TOWNSHIP,President,,,Under Votes,0,,,
Wayne,MANCHESTER TOWNSHIP,U.S. Senate,,DEM,ROBERT P CASEY JR,117,68,48,1
Wayne,MANCHESTER TOWNSHIP,U.S. Senate,,REP,DAVE MCCORMICK,357,273,80,4
Wayne,MANCHESTER TOWNSHIP,U.S. Senate,,LIB,JOHN C THOMAS,2,1,1,0
Wayne,MANCHESTER TOWNSHIP,U.S. Senate,,GRN,LEILA HAZOU,3,0,3,0
Wayne,MANCHESTER TOWNSHIP,U.S. Senate,,CST,MARTY SELKER,3,2,1,0
Wayne,MANCHESTER TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0,0
Wayne,MANCHESTER TOWNSHIP,U.S. Senate,,,Over Votes,1,,,
Wayne,MANCHESTER TOWNSHIP,U.S. Senate,,,Under Votes,5,,,
Wayne,MANCHESTER TOWNSHIP,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,111,61,49,1
Wayne,MANCHESTER TOWNSHIP,ATTORNEY GENERAL,,REP,DAVE SUNDAY,359,278,77,4
Wayne,MANCHESTER TOWNSHIP,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,5,4,1,0
Wayne,MANCHESTER TOWNSHIP,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,2,2,0,0
Wayne,MANCHESTER TOWNSHIP,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,6,3,3,0
Wayne,MANCHESTER TOWNSHIP,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,0,0,0,0
Wayne,MANCHESTER TOWNSHIP,ATTORNEY GENERAL,,,Write-ins,0,0,0,0
Wayne,MANCHESTER TOWNSHIP,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,MANCHESTER TOWNSHIP,ATTORNEY GENERAL,,,Under Votes,3,,,
Wayne,MANCHESTER TOWNSHIP,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,104,57,46,1
Wayne,MANCHESTER TOWNSHIP,AUDITOR GENERAL,,REP,TIM DEFOOR,361,278,79,4
Wayne,MANCHESTER TOWNSHIP,AUDITOR GENERAL,,LIB,REECE SMITH,2,1,1,0
Wayne,MANCHESTER TOWNSHIP,AUDITOR GENERAL,,ASP,ERIC K ANTON,0,0,0,0
Wayne,MANCHESTER TOWNSHIP,AUDITOR GENERAL,,CST,BOB GOODRICH,8,6,2,0
Wayne,MANCHESTER TOWNSHIP,AUDITOR GENERAL,,,Write-ins,0,0,0,0
Wayne,MANCHESTER TOWNSHIP,AUDITOR GENERAL,,,Over Votes,1,,,
Wayne,MANCHESTER TOWNSHIP,AUDITOR GENERAL,,,Under Votes,10,,,
Wayne,MANCHESTER TOWNSHIP,STATE TREASURER,,DEM,ERIN MCCLELLAND,108,60,47,1
Wayne,MANCHESTER TOWNSHIP,STATE TREASURER,,REP,STACY GARRITY,361,278,79,4
Wayne,MANCHESTER TOWNSHIP,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,3,1,2,0
Wayne,MANCHESTER TOWNSHIP,STATE TREASURER,,CST,TROY BOWMAN,4,3,1,0
Wayne,MANCHESTER TOWNSHIP,STATE TREASURER,,FWD,CHRIS FOSTER,1,1,0,0
Wayne,MANCHESTER TOWNSHIP,STATE TREASURER,,,Write-ins,0,0,0,0
Wayne,MANCHESTER TOWNSHIP,STATE TREASURER,,,Over Votes,0,,,
Wayne,MANCHESTER TOWNSHIP,STATE TREASURER,,,Under Votes,9,,,
Wayne,MANCHESTER TOWNSHIP,U.S. House,8,DEM,MATT CARTWRIGHT,123,68,54,1
Wayne,MANCHESTER TOWNSHIP,U.S. House,8,REP,ROB BRESNAHAN JR,358,275,79,4
Wayne,MANCHESTER TOWNSHIP,U.S. House,8,,Write-ins,0,0,0,0
Wayne,MANCHESTER TOWNSHIP,U.S. House,8,,Over Votes,0,,,
Wayne,MANCHESTER TOWNSHIP,U.S. House,8,,Under Votes,7,,,
Wayne,MANCHESTER TOWNSHIP,State House,111,REP,JONATHAN FRITZ,403,304,95,4
Wayne,MANCHESTER TOWNSHIP,State House,111,,Write-ins,8,3,5,0
Wayne,MANCHESTER TOWNSHIP,State House,111,,Over Votes,0,,,
Wayne,MANCHESTER TOWNSHIP,State House,111,,Under Votes,75,,,
Wayne,MOUNT PLEASANT TOWNSHIP,Registered Voters,,,,1111,,,
Wayne,MOUNT PLEASANT TOWNSHIP,Ballots Cast,,,,943,,,
Wayne,MOUNT PLEASANT TOWNSHIP,President,,DEM,KAMALA D HARRIS,268,151,117,0
Wayne,MOUNT PLEASANT TOWNSHIP,President,,REP,DONALD J TRUMP,661,488,162,11
Wayne,MOUNT PLEASANT TOWNSHIP,President,,LIB,CHASE OLIVER,6,6,0,0
Wayne,MOUNT PLEASANT TOWNSHIP,President,,GRN,JILL STEIN,3,3,0,0
Wayne,MOUNT PLEASANT TOWNSHIP,President,,,Write-ins,2,2,0,0
Wayne,MOUNT PLEASANT TOWNSHIP,President,,,Over Votes,1,,,
Wayne,MOUNT PLEASANT TOWNSHIP,President,,,Under Votes,2,,,
Wayne,MOUNT PLEASANT TOWNSHIP,U.S. Senate,,DEM,ROBERT P CASEY JR,288,166,122,0
Wayne,MOUNT PLEASANT TOWNSHIP,U.S. Senate,,REP,DAVE MCCORMICK,629,471,149,9
Wayne,MOUNT PLEASANT TOWNSHIP,U.S. Senate,,LIB,JOHN C THOMAS,12,7,5,0
Wayne,MOUNT PLEASANT TOWNSHIP,U.S. Senate,,GRN,LEILA HAZOU,4,4,0,0
Wayne,MOUNT PLEASANT TOWNSHIP,U.S. Senate,,CST,MARTY SELKER,2,0,2,0
Wayne,MOUNT PLEASANT TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0,0
Wayne,MOUNT PLEASANT TOWNSHIP,U.S. Senate,,,Over Votes,0,,,
Wayne,MOUNT PLEASANT TOWNSHIP,U.S. Senate,,,Under Votes,8,,,
Wayne,MOUNT PLEASANT TOWNSHIP,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,260,149,111,0
Wayne,MOUNT PLEASANT TOWNSHIP,ATTORNEY GENERAL,,REP,DAVE SUNDAY,634,473,152,9
Wayne,MOUNT PLEASANT TOWNSHIP,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,19,15,4,0
Wayne,MOUNT PLEASANT TOWNSHIP,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,4,2,2,0
Wayne,MOUNT PLEASANT TOWNSHIP,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,5,3,2,0
Wayne,MOUNT PLEASANT TOWNSHIP,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,2,0,2,0
Wayne,MOUNT PLEASANT TOWNSHIP,ATTORNEY GENERAL,,,Write-ins,0,0,0,0
Wayne,MOUNT PLEASANT TOWNSHIP,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,MOUNT PLEASANT TOWNSHIP,ATTORNEY GENERAL,,,Under Votes,18,,,
Wayne,MOUNT PLEASANT TOWNSHIP,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,250,139,111,0
Wayne,MOUNT PLEASANT TOWNSHIP,AUDITOR GENERAL,,REP,TIM DEFOOR,647,484,154,9
Wayne,MOUNT PLEASANT TOWNSHIP,AUDITOR GENERAL,,LIB,REECE SMITH,12,10,2,0
Wayne,MOUNT PLEASANT TOWNSHIP,AUDITOR GENERAL,,ASP,ERIC K ANTON,1,0,1,0
Wayne,MOUNT PLEASANT TOWNSHIP,AUDITOR GENERAL,,CST,BOB GOODRICH,7,3,4,0
Wayne,MOUNT PLEASANT TOWNSHIP,AUDITOR GENERAL,,,Write-ins,0,0,0,0
Wayne,MOUNT PLEASANT TOWNSHIP,AUDITOR GENERAL,,,Over Votes,0,,,
Wayne,MOUNT PLEASANT TOWNSHIP,AUDITOR GENERAL,,,Under Votes,25,,,
Wayne,MOUNT PLEASANT TOWNSHIP,STATE TREASURER,,DEM,ERIN MCCLELLAND,233,128,105,0
Wayne,MOUNT PLEASANT TOWNSHIP,STATE TREASURER,,REP,STACY GARRITY,663,497,157,9
Wayne,MOUNT PLEASANT TOWNSHIP,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,8,6,2,0
Wayne,MOUNT PLEASANT TOWNSHIP,STATE TREASURER,,CST,TROY BOWMAN,9,5,4,0
Wayne,MOUNT PLEASANT TOWNSHIP,STATE TREASURER,,FWD,CHRIS FOSTER,3,1,2,0
Wayne,MOUNT PLEASANT TOWNSHIP,STATE TREASURER,,,Write-ins,0,0,0,0
Wayne,MOUNT PLEASANT TOWNSHIP,STATE TREASURER,,,Over Votes,0,,,
Wayne,MOUNT PLEASANT TOWNSHIP,STATE TREASURER,,,Under Votes,26,,,
Wayne,MOUNT PLEASANT TOWNSHIP,U.S. House,8,DEM,MATT CARTWRIGHT,294,168,126,0
Wayne,MOUNT PLEASANT TOWNSHIP,U.S. House,8,REP,ROB BRESNAHAN JR,639,478,152,9
Wayne,MOUNT PLEASANT TOWNSHIP,U.S. House,8,,Write-ins,0,0,0,0
Wayne,MOUNT PLEASANT TOWNSHIP,U.S. House,8,,Over Votes,0,,,
Wayne,MOUNT PLEASANT TOWNSHIP,U.S. House,8,,Under Votes,10,,,
Wayne,MOUNT PLEASANT TOWNSHIP,State House,111,REP,JONATHAN FRITZ,805,580,216,9
Wayne,MOUNT PLEASANT TOWNSHIP,State House,111,,Write-ins,21,14,7,0
Wayne,MOUNT PLEASANT TOWNSHIP,State House,111,,Over Votes,0,,,
Wayne,MOUNT PLEASANT TOWNSHIP,State House,111,,Under Votes,116,,,
Wayne,OREGON TOWNSHIP,Registered Voters,,,,583,,,
Wayne,OREGON TOWNSHIP,Ballots Cast,,,,495,,,
Wayne,OREGON TOWNSHIP,President,,DEM,KAMALA D HARRIS,111,66,45,0
Wayne,OREGON TOWNSHIP,President,,REP,DONALD J TRUMP,377,304,70,3
Wayne,OREGON TOWNSHIP,President,,LIB,CHASE OLIVER,5,4,1,0
Wayne,OREGON TOWNSHIP,President,,GRN,JILL STEIN,1,1,0,0
Wayne,OREGON TOWNSHIP,President,,,Write-ins,1,1,0,0
Wayne,OREGON TOWNSHIP,President,,,Over Votes,0,,,
Wayne,OREGON TOWNSHIP,President,,,Under Votes,0,,,
Wayne,OREGON TOWNSHIP,U.S. Senate,,DEM,ROBERT P CASEY JR,109,65,44,0
Wayne,OREGON TOWNSHIP,U.S. Senate,,REP,DAVE MCCORMICK,374,302,70,2
Wayne,OREGON TOWNSHIP,U.S. Senate,,LIB,JOHN C THOMAS,5,4,1,0
Wayne,OREGON TOWNSHIP,U.S. Senate,,GRN,LEILA HAZOU,5,4,1,0
Wayne,OREGON TOWNSHIP,U.S. Senate,,CST,MARTY SELKER,1,1,0,0
Wayne,OREGON TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0,0
Wayne,OREGON TOWNSHIP,U.S. Senate,,,Over Votes,0,,,
Wayne,OREGON TOWNSHIP,U.S. Senate,,,Under Votes,1,,,
Wayne,OREGON TOWNSHIP,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,101,57,43,1
Wayne,OREGON TOWNSHIP,ATTORNEY GENERAL,,REP,DAVE SUNDAY,372,299,72,1
Wayne,OREGON TOWNSHIP,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,6,6,0,0
Wayne,OREGON TOWNSHIP,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,4,4,0,0
Wayne,OREGON TOWNSHIP,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,4,4,0,0
Wayne,OREGON TOWNSHIP,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,0,0,0,0
Wayne,OREGON TOWNSHIP,ATTORNEY GENERAL,,,Write-ins,0,0,0,0
Wayne,OREGON TOWNSHIP,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,OREGON TOWNSHIP,ATTORNEY GENERAL,,,Under Votes,8,,,
Wayne,OREGON TOWNSHIP,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,92,49,43,0
Wayne,OREGON TOWNSHIP,AUDITOR GENERAL,,REP,TIM DEFOOR,360,288,71,1
Wayne,OREGON TOWNSHIP,AUDITOR GENERAL,,LIB,REECE SMITH,8,8,0,0
Wayne,OREGON TOWNSHIP,AUDITOR GENERAL,,ASP,ERIC K ANTON,1,1,0,0
Wayne,OREGON TOWNSHIP,AUDITOR GENERAL,,CST,BOB GOODRICH,6,5,0,1
Wayne,OREGON TOWNSHIP,AUDITOR GENERAL,,,Write-ins,0,0,0,0
Wayne,OREGON TOWNSHIP,AUDITOR GENERAL,,,Over Votes,0,,,
Wayne,OREGON TOWNSHIP,AUDITOR GENERAL,,,Under Votes,28,,,
Wayne,OREGON TOWNSHIP,STATE TREASURER,,DEM,ERIN MCCLELLAND,87,46,41,0
Wayne,OREGON TOWNSHIP,STATE TREASURER,,REP,STACY GARRITY,371,296,73,2
Wayne,OREGON TOWNSHIP,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,5,5,0,0
Wayne,OREGON TOWNSHIP,STATE TREASURER,,CST,TROY BOWMAN,4,4,0,0
Wayne,OREGON TOWNSHIP,STATE TREASURER,,FWD,CHRIS FOSTER,0,0,0,0
Wayne,OREGON TOWNSHIP,STATE TREASURER,,,Write-ins,0,0,0,0
Wayne,OREGON TOWNSHIP,STATE TREASURER,,,Over Votes,0,,,
Wayne,OREGON TOWNSHIP,STATE TREASURER,,,Under Votes,28,,,
Wayne,OREGON TOWNSHIP,U.S. House,8,DEM,MATT CARTWRIGHT,114,65,49,0
Wayne,OREGON TOWNSHIP,U.S. House,8,REP,ROB BRESNAHAN JR,364,295,67,2
Wayne,OREGON TOWNSHIP,U.S. House,8,,Write-ins,0,0,0,0
Wayne,OREGON TOWNSHIP,U.S. House,8,,Over Votes,0,,,
Wayne,OREGON TOWNSHIP,U.S. House,8,,Under Votes,17,,,
Wayne,OREGON TOWNSHIP,State House,111,REP,JONATHAN FRITZ,432,341,89,2
Wayne,OREGON TOWNSHIP,State House,111,,Write-ins,11,3,8,0
Wayne,OREGON TOWNSHIP,State House,111,,Over Votes,0,,,
Wayne,OREGON TOWNSHIP,State House,111,,Under Votes,52,,,
Wayne,PALMYRA TOWNSHIP,Registered Voters,,,,1002,,,
Wayne,PALMYRA TOWNSHIP,Ballots Cast,,,,799,,,
Wayne,PALMYRA TOWNSHIP,President,,DEM,KAMALA D HARRIS,216,129,87,0
Wayne,PALMYRA TOWNSHIP,President,,REP,DONALD J TRUMP,574,451,120,3
Wayne,PALMYRA TOWNSHIP,President,,LIB,CHASE OLIVER,3,1,2,0
Wayne,PALMYRA TOWNSHIP,President,,GRN,JILL STEIN,1,1,0,0
Wayne,PALMYRA TOWNSHIP,President,,,Write-ins,2,2,0,0
Wayne,PALMYRA TOWNSHIP,President,,,Over Votes,1,,,
Wayne,PALMYRA TOWNSHIP,President,,,Under Votes,2,,,
Wayne,PALMYRA TOWNSHIP,U.S. Senate,,DEM,ROBERT P CASEY JR,221,136,85,0
Wayne,PALMYRA TOWNSHIP,U.S. Senate,,REP,DAVE MCCORMICK,558,434,121,3
Wayne,PALMYRA TOWNSHIP,U.S. Senate,,LIB,JOHN C THOMAS,6,6,0,0
Wayne,PALMYRA TOWNSHIP,U.S. Senate,,GRN,LEILA HAZOU,2,1,1,0
Wayne,PALMYRA TOWNSHIP,U.S. Senate,,CST,MARTY SELKER,1,0,1,0
Wayne,PALMYRA TOWNSHIP,U.S. Senate,,,Write-ins,1,1,0,0
Wayne,PALMYRA TOWNSHIP,U.S. Senate,,,Over Votes,2,,,
Wayne,PALMYRA TOWNSHIP,U.S. Senate,,,Under Votes,8,,,
Wayne,PALMYRA TOWNSHIP,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,202,121,80,1
Wayne,PALMYRA TOWNSHIP,ATTORNEY GENERAL,,REP,DAVE SUNDAY,551,429,120,2
Wayne,PALMYRA TOWNSHIP,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,10,10,0,0
Wayne,PALMYRA TOWNSHIP,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,4,4,0,0
Wayne,PALMYRA TOWNSHIP,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,5,5,0,0
Wayne,PALMYRA TOWNSHIP,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,4,2,2,0
Wayne,PALMYRA TOWNSHIP,ATTORNEY GENERAL,,,Write-ins,0,0,0,0
Wayne,PALMYRA TOWNSHIP,ATTORNEY GENERAL,,,Over Votes,2,,,
Wayne,PALMYRA TOWNSHIP,ATTORNEY GENERAL,,,Under Votes,18,,,
Wayne,PALMYRA TOWNSHIP,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,192,116,76,0
Wayne,PALMYRA TOWNSHIP,AUDITOR GENERAL,,REP,TIM DEFOOR,563,435,125,3
Wayne,PALMYRA TOWNSHIP,AUDITOR GENERAL,,LIB,REECE SMITH,13,11,2,0
Wayne,PALMYRA TOWNSHIP,AUDITOR GENERAL,,ASP,ERIC K ANTON,1,1,0,0
Wayne,PALMYRA TOWNSHIP,AUDITOR GENERAL,,CST,BOB GOODRICH,6,5,1,0
