candidate,office,district,party,county,precinct,votes,election_day,mail,provisional
Jo Jorgensen,President,,,Wayne,Texas Township #1,6,6,0,0
Write-Ins,President,,,Wayne,Texas Township #1,0,0,0,0
Over Votes,President,,,Wayne,Texas Township #1,0,,,
Under Votes,President,,,Wayne,Texas Township #1,2,,,
Josh Shapiro,Attorney General,,,Wayne,Texas Township #1,126,54,71,1
Heather Heidelbaugh,Attorney General,,,Wayne,Texas Township #1,305,251,54,0
Daniel Wassmer,Attorney General,,,Wayne,Texas Township #1,3,2,1,0
Richard L Weiss,Attorney General,,,Wayne,Texas Township #1,7,5,2,0
Write-Ins,Attorney General,,,Wayne,Texas Township #1,0,0,0,0
Over Votes,Attorney General,,,Wayne,Texas Township #1,0,,,
Under Votes,Attorney General,,,Wayne,Texas Township #1,12,,,
Nina Ahmad,Auditor General,,,Wayne,Texas Township #1,104,39,64,1
Timothy Defoor,Auditor General,,,Wayne,Texas Township #1,315,259,56,0
Jennifer Moore,Auditor General,,,Wayne,Texas Township #1,11,5,6,0
Olivia Faison,Auditor General,,,Wayne,Texas Township #1,7,6,1,0
Write-Ins,Auditor General,,,Wayne,Texas Township #1,0,0,0,0
Over Votes,Auditor General,,,Wayne,Texas Township #1,1,,,
Under Votes,Auditor General,,,Wayne,Texas Township #1,15,,,
Joe Torsella,State Treasurer,,,Wayne,Texas Township #1,108,43,64,1
Stacy L Garrity,State Treasurer,,,Wayne,Texas Township #1,317,257,60,0
Joe Soloski,State Treasurer,,,Wayne,Texas Township #1,7,5,2,0
Timothy Runkle,State Treasurer,,,Wayne,Texas Township #1,6,4,2,0
Write-Ins,State Treasurer,,,Wayne,Texas Township #1,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Texas Township #1,1,,,
Under Votes,State Treasurer,,,Wayne,Texas Township #1,14,,,
Matt Cartwright,U.S. House,8,,Wayne,Texas Township #1,138,61,76,1
Jim Bognet,U.S. House,8,,Wayne,Texas Township #1,307,257,50,0
Write-Ins,U.S. House,8,,Wayne,Texas Township #1,2,0,2,0
Over Votes,U.S. House,8,,Wayne,Texas Township #1,0,,,
Under Votes,U.S. House,8,,Wayne,Texas Township #1,6,,,
Jonathan Fritz,State Representative,111,,Wayne,Texas Township #1,389,296,92,1
Write-Ins,State Representative,111,,Wayne,Texas Township #1,14,5,9,0
Over Votes,State Representative,111,,Wayne,Texas Township #1,0,,,
Under Votes,State Representative,111,,Wayne,Texas Township #1,50,,,
Registered Voters,,,,Wayne,Texas Township #2,580,,,
Ballots Cast,,,,Wayne,Texas Township #2,477,,,
Joseph R Biden,President,,,Wayne,Texas Township #2,164,72,92,0
Donald J Trump,President,,,Wayne,Texas Township #2,305,234,71,0
Jo Jorgensen,President,,,Wayne,Texas Township #2,4,4,0,0
Write-Ins,President,,,Wayne,Texas Township #2,0,0,0,0
Over Votes,President,,,Wayne,Texas Township #2,1,,,
Under Votes,President,,,Wayne,Texas Township #2,3,,,
Josh Shapiro,Attorney General,,,Wayne,Texas Township #2,165,72,93,0
Heather Heidelbaugh,Attorney General,,,Wayne,Texas Township #2,289,222,67,0
Daniel Wassmer,Attorney General,,,Wayne,Texas Township #2,4,3,1,0
Richard L Weiss,Attorney General,,,Wayne,Texas Township #2,6,4,2,0
Write-Ins,Attorney General,,,Wayne,Texas Township #2,0,0,0,0
Over Votes,Attorney General,,,Wayne,Texas Township #2,0,,,
Under Votes,Attorney General,,,Wayne,Texas Township #2,13,,,
Nina Ahmad,Auditor General,,,Wayne,Texas Township #2,139,58,81,0
Timothy Defoor,Auditor General,,,Wayne,Texas Township #2,299,228,71,0
Jennifer Moore,Auditor General,,,Wayne,Texas Township #2,18,13,5,0
Olivia Faison,Auditor General,,,Wayne,Texas Township #2,7,4,3,0
Write-Ins,Auditor General,,,Wayne,Texas Township #2,1,1,0,0
Over Votes,Auditor General,,,Wayne,Texas Township #2,0,,,
Under Votes,Auditor General,,,Wayne,Texas Township #2,13,,,
Joe Torsella,State Treasurer,,,Wayne,Texas Township #2,141,59,82,0
Stacy L Garrity,State Treasurer,,,Wayne,Texas Township #2,304,230,74,0
Joe Soloski,State Treasurer,,,Wayne,Texas Township #2,15,12,3,0
Timothy Runkle,State Treasurer,,,Wayne,Texas Township #2,7,3,4,0
Write-Ins,State Treasurer,,,Wayne,Texas Township #2,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Texas Township #2,0,,,
Under Votes,State Treasurer,,,Wayne,Texas Township #2,10,,,
Matt Cartwright,U.S. House,8,,Wayne,Texas Township #2,184,87,97,0
Jim Bognet,U.S. House,8,,Wayne,Texas Township #2,286,219,67,0
Write-Ins,U.S. House,8,,Wayne,Texas Township #2,1,1,0,0
Over Votes,U.S. House,8,,Wayne,Texas Township #2,0,,,
Under Votes,U.S. House,8,,Wayne,Texas Township #2,6,,,
Jonathan Fritz,State Representative,111,,Wayne,Texas Township #2,413,284,129,0
Write-Ins,State Representative,111,,Wayne,Texas Township #2,15,6,9,0
Over Votes,State Representative,111,,Wayne,Texas Township #2,0,,,
Under Votes,State Representative,111,,Wayne,Texas Township #2,49,,,
Registered Voters,,,,Wayne,Texas Township #3,428,,,
Ballots Cast,,,,Wayne,Texas Township #3,322,,,
Joseph R Biden,President,,,Wayne,Texas Township #3,105,59,46,0
Donald J Trump,President,,,Wayne,Texas Township #3,212,186,24,2
Jo Jorgensen,President,,,Wayne,Texas Township #3,5,5,0,0
Write-Ins,President,,,Wayne,Texas Township #3,0,0,0,0
Over Votes,President,,,Wayne,Texas Township #3,0,,,
Under Votes,President,,,Wayne,Texas Township #3,0,,,
Josh Shapiro,Attorney General,,,Wayne,Texas Township #3,110,65,45,0
Heather Heidelbaugh,Attorney General,,,Wayne,Texas Township #3,195,173,20,2
Daniel Wassmer,Attorney General,,,Wayne,Texas Township #3,7,5,2,0
Richard L Weiss,Attorney General,,,Wayne,Texas Township #3,6,5,1,0
Write-Ins,Attorney General,,,Wayne,Texas Township #3,0,0,0,0
Over Votes,Attorney General,,,Wayne,Texas Township #3,0,,,
Under Votes,Attorney General,,,Wayne,Texas Township #3,4,,,
Nina Ahmad,Auditor General,,,Wayne,Texas Township #3,97,56,41,0
Timothy Defoor,Auditor General,,,Wayne,Texas Township #3,201,175,24,2
Jennifer Moore,Auditor General,,,Wayne,Texas Township #3,12,10,2,0
Olivia Faison,Auditor General,,,Wayne,Texas Township #3,2,2,0,0
Write-Ins,Auditor General,,,Wayne,Texas Township #3,0,0,0,0
Over Votes,Auditor General,,,Wayne,Texas Township #3,0,,,
Under Votes,Auditor General,,,Wayne,Texas Township #3,10,,,
Joe Torsella,State Treasurer,,,Wayne,Texas Township #3,92,51,41,0
Stacy L Garrity,State Treasurer,,,Wayne,Texas Township #3,209,183,24,2
Joe Soloski,State Treasurer,,,Wayne,Texas Township #3,10,8,2,0
Timothy Runkle,State Treasurer,,,Wayne,Texas Township #3,3,3,0,0
Write-Ins,State Treasurer,,,Wayne,Texas Township #3,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Texas Township #3,0,,,
Under Votes,State Treasurer,,,Wayne,Texas Township #3,8,,,
Matt Cartwright,U.S. House,8,,Wayne,Texas Township #3,114,65,49,0
Jim Bognet,U.S. House,8,,Wayne,Texas Township #3,204,182,20,2
Write-Ins,U.S. House,8,,Wayne,Texas Township #3,0,0,0,0
Over Votes,U.S. House,8,,Wayne,Texas Township #3,0,,,
Under Votes,U.S. House,8,,Wayne,Texas Township #3,4,,,
Jonathan Fritz,State Representative,111,,Wayne,Texas Township #3,271,221,48,2
Write-Ins,State Representative,111,,Wayne,Texas Township #3,9,5,4,0
Over Votes,State Representative,111,,Wayne,Texas Township #3,0,,,
Under Votes,State Representative,111,,Wayne,Texas Township #3,42,,,
Registered Voters,,,,Wayne,Waymart Borough,848,,,
Ballots Cast,,,,Wayne,Waymart Borough,644,,,
Joseph R Biden,President,,,Wayne,Waymart Borough,190,111,78,1
Donald J Trump,President,,,Wayne,Waymart Borough,447,384,59,4
Jo Jorgensen,President,,,Wayne,Waymart Borough,3,3,0,0
Write-Ins,President,,,Wayne,Waymart Borough,2,1,1,0
Over Votes,President,,,Wayne,Waymart Borough,0,,,
Under Votes,President,,,Wayne,Waymart Borough,2,,,
Josh Shapiro,Attorney General,,,Wayne,Waymart Borough,207,130,76,1
Heather Heidelbaugh,Attorney General,,,Wayne,Waymart Borough,411,350,57,4
Daniel Wassmer,Attorney General,,,Wayne,Waymart Borough,7,6,1,0
Richard L Weiss,Attorney General,,,Wayne,Waymart Borough,7,5,2,0
Write-Ins,Attorney General,,,Wayne,Waymart Borough,0,0,0,0
Over Votes,Attorney General,,,Wayne,Waymart Borough,0,,,
Under Votes,Attorney General,,,Wayne,Waymart Borough,12,,,
Nina Ahmad,Auditor General,,,Wayne,Waymart Borough,167,97,69,1
Timothy Defoor,Auditor General,,,Wayne,Waymart Borough,425,360,61,4
Jennifer Moore,Auditor General,,,Wayne,Waymart Borough,22,21,1,0
Olivia Faison,Auditor General,,,Wayne,Waymart Borough,12,7,5,0
Write-Ins,Auditor General,,,Wayne,Waymart Borough,0,0,0,0
Over Votes,Auditor General,,,Wayne,Waymart Borough,0,,,
Under Votes,Auditor General,,,Wayne,Waymart Borough,18,,,
Joe Torsella,State Treasurer,,,Wayne,Waymart Borough,172,99,72,1
Stacy L Garrity,State Treasurer,,,Wayne,Waymart Borough,434,373,57,4
Joe Soloski,State Treasurer,,,Wayne,Waymart Borough,13,12,1,0
Timothy Runkle,State Treasurer,,,Wayne,Waymart Borough,11,5,6,0
Write-Ins,State Treasurer,,,Wayne,Waymart Borough,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Waymart Borough,0,,,
Under Votes,State Treasurer,,,Wayne,Waymart Borough,14,,,
Matt Cartwright,U.S. House,8,,Wayne,Waymart Borough,219,139,79,1
Jim Bognet,U.S. House,8,,Wayne,Waymart Borough,418,355,59,4
Write-Ins,U.S. House,8,,Wayne,Waymart Borough,0,0,0,0
Over Votes,U.S. House,8,,Wayne,Waymart Borough,0,,,
Under Votes,U.S. House,8,,Wayne,Waymart Borough,7,,,
Jonathan Fritz,State Representative,111,,Wayne,Waymart Borough,536,444,88,4
Write-Ins,State Representative,111,,Wayne,Waymart Borough,12,7,5,0
Over Votes,State Representative,111,,Wayne,Waymart Borough,0,,,
Under Votes,State Representative,111,,Wayne,Waymart Borough,96,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
