county,precinct,office,district,party,candidate,votes,absentee_mail,election_day
Chester,720 WESTTOWN 1,STATE TREASURER, ,DEM,Write-In Totals,1,1,0
Chester,720 WESTTOWN 1,U.S. House,6,DEM,CHRISSY HOULAHAN,308,241,67
Chester,720 WESTTOWN 1,U.S. House,6,DEM,Write-In Totals,1,1,0
Chester,720 WESTTOWN 1,State House,156,DEM,CAROLYN COMITTA,307,239,68
Chester,720 WESTTOWN 1,State House,156,DEM,Write-In Totals,1,1,0
Chester,720 WESTTOWN 1,President, ,REP,DONALD J TRUMP,263,82,181
Chester,720 WESTTOWN 1,President, ,REP,ROQUE ROCKY DE LA FUENTE,8,6,2
Chester,720 WESTTOWN 1,President, ,REP,BILL WELD,35,25,10
Chester,720 WESTTOWN 1,President, ,REP,Write-In Totals,17,7,10
Chester,720 WESTTOWN 1,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,308,113,195
Chester,720 WESTTOWN 1,ATTORNEY GENERAL, ,REP,Write-In Totals,1,0,1
Chester,720 WESTTOWN 1,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,309,115,194
Chester,720 WESTTOWN 1,AUDITOR GENERAL, ,REP,Write-In Totals,1,1,0
Chester,720 WESTTOWN 1,STATE TREASURER, ,REP,STACY L GARRITY,305,111,194
Chester,720 WESTTOWN 1,STATE TREASURER, ,REP,Write-In Totals,1,1,0
Chester,720 WESTTOWN 1,U.S. House,6,REP,JOHN EMMONS,308,113,195
Chester,720 WESTTOWN 1,U.S. House,6,REP,Write-In Totals,3,2,1
Chester,720 WESTTOWN 1,State House,156,REP,LEN IACONO,303,113,190
Chester,720 WESTTOWN 1,State House,156,REP,Write-In Totals,4,4,0
Chester,725 WESTTOWN 2,Registered Voters, ,,Registered Voters - Total,"1,713",,
Chester,725 WESTTOWN 2,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,668,,
Chester,725 WESTTOWN 2,Registered Voters, ,REP,Registered Voters - REPUBLICAN,774,,
Chester,725 WESTTOWN 2,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,271,,
Chester,725 WESTTOWN 2,Ballots Cast, , , ,576,351,225
Chester,725 WESTTOWN 2,Ballots Cast, ,DEM, ,317,253,64
Chester,725 WESTTOWN 2,Ballots Cast, ,REP, ,259,98,161
Chester,725 WESTTOWN 2,Ballots Cast, ,NPA, ,0,0,0
Chester,725 WESTTOWN 2,President, ,DEM,BERNIE SANDERS,50,40,10
Chester,725 WESTTOWN 2,President, ,DEM,JOSEPH R BIDEN,259,206,53
Chester,725 WESTTOWN 2,President, ,DEM,TULSI GABBARD,3,2,1
Chester,725 WESTTOWN 2,President, ,DEM,Write-In Totals,5,5,0
Chester,725 WESTTOWN 2,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,292,234,58
Chester,725 WESTTOWN 2,ATTORNEY GENERAL, ,DEM,Write-In Totals,3,3,0
Chester,725 WESTTOWN 2,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,14,11,3
Chester,725 WESTTOWN 2,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,22,19,3
Chester,725 WESTTOWN 2,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,27,24,3
Chester,725 WESTTOWN 2,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,9,7,2
Chester,725 WESTTOWN 2,AUDITOR GENERAL, ,DEM,NINA AHMAD,142,104,38
Chester,725 WESTTOWN 2,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,78,68,10
Chester,725 WESTTOWN 2,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,725 WESTTOWN 2,STATE TREASURER, ,DEM,JOE TORSELLA,292,232,60
Chester,725 WESTTOWN 2,STATE TREASURER, ,DEM,Write-In Totals,1,0,1
Chester,725 WESTTOWN 2,U.S. House,6,DEM,CHRISSY HOULAHAN,305,242,63
Chester,725 WESTTOWN 2,U.S. House,6,DEM,Write-In Totals,2,1,1
Chester,725 WESTTOWN 2,State House,156,DEM,CAROLYN COMITTA,301,240,61
Chester,725 WESTTOWN 2,State House,156,DEM,Write-In Totals,5,4,1
Chester,725 WESTTOWN 2,President, ,REP,DONALD J TRUMP,215,72,143
Chester,725 WESTTOWN 2,President, ,REP,ROQUE ROCKY DE LA FUENTE,5,3,2
Chester,725 WESTTOWN 2,President, ,REP,BILL WELD,28,19,9
Chester,725 WESTTOWN 2,President, ,REP,Write-In Totals,3,1,2
Chester,725 WESTTOWN 2,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,225,85,140
Chester,725 WESTTOWN 2,ATTORNEY GENERAL, ,REP,Write-In Totals,3,2,1
Chester,725 WESTTOWN 2,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,226,84,142
Chester,725 WESTTOWN 2,AUDITOR GENERAL, ,REP,Write-In Totals,4,2,2
Chester,725 WESTTOWN 2,STATE TREASURER, ,REP,STACY L GARRITY,225,86,139
Chester,725 WESTTOWN 2,STATE TREASURER, ,REP,Write-In Totals,4,2,2
Chester,725 WESTTOWN 2,U.S. House,6,REP,JOHN EMMONS,225,80,145
Chester,725 WESTTOWN 2,U.S. House,6,REP,Write-In Totals,7,5,2
Chester,725 WESTTOWN 2,State House,156,REP,LEN IACONO,220,80,140
Chester,725 WESTTOWN 2,State House,156,REP,Write-In Totals,8,5,3
Chester,730 WESTTOWN 3,Registered Voters, ,,Registered Voters - Total,"2,272",,
Chester,730 WESTTOWN 3,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,847,,
Chester,730 WESTTOWN 3,Registered Voters, ,REP,Registered Voters - REPUBLICAN,"1,080",,
Chester,730 WESTTOWN 3,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,345,,
Chester,730 WESTTOWN 3,Ballots Cast, , , ,775,462,313
Chester,730 WESTTOWN 3,Ballots Cast, ,DEM, ,421,327,94
Chester,730 WESTTOWN 3,Ballots Cast, ,REP, ,354,135,219
Chester,730 WESTTOWN 3,Ballots Cast, ,NPA, ,0,0,0
Chester,730 WESTTOWN 3,President, ,DEM,BERNIE SANDERS,55,37,18
Chester,730 WESTTOWN 3,President, ,DEM,JOSEPH R BIDEN,344,271,73
Chester,730 WESTTOWN 3,President, ,DEM,TULSI GABBARD,5,3,2
Chester,730 WESTTOWN 3,President, ,DEM,Write-In Totals,13,12,1
Chester,730 WESTTOWN 3,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,381,298,83
Chester,730 WESTTOWN 3,ATTORNEY GENERAL, ,DEM,Write-In Totals,5,2,3
Chester,730 WESTTOWN 3,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,23,18,5
Chester,730 WESTTOWN 3,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,19,13,6
Chester,730 WESTTOWN 3,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,29,28,1
Chester,730 WESTTOWN 3,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,11,6,5
Chester,730 WESTTOWN 3,AUDITOR GENERAL, ,DEM,NINA AHMAD,177,129,48
Chester,730 WESTTOWN 3,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,108,91,17
Chester,730 WESTTOWN 3,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,730 WESTTOWN 3,STATE TREASURER, ,DEM,JOE TORSELLA,372,291,81
Chester,730 WESTTOWN 3,STATE TREASURER, ,DEM,Write-In Totals,3,1,2
Chester,730 WESTTOWN 3,U.S. House,6,DEM,CHRISSY HOULAHAN,407,317,90
Chester,730 WESTTOWN 3,U.S. House,6,DEM,Write-In Totals,2,1,1
Chester,730 WESTTOWN 3,State House,156,DEM,CAROLYN COMITTA,401,314,87
Chester,730 WESTTOWN 3,State House,156,DEM,Write-In Totals,5,3,2
Chester,730 WESTTOWN 3,President, ,REP,DONALD J TRUMP,280,89,191
Chester,730 WESTTOWN 3,President, ,REP,ROQUE ROCKY DE LA FUENTE,12,3,9
Chester,730 WESTTOWN 3,President, ,REP,BILL WELD,25,20,5
Chester,730 WESTTOWN 3,President, ,REP,Write-In Totals,25,16,9
Chester,730 WESTTOWN 3,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,321,126,195
Chester,730 WESTTOWN 3,ATTORNEY GENERAL, ,REP,Write-In Totals,5,1,4
Chester,730 WESTTOWN 3,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,320,125,195
Chester,730 WESTTOWN 3,AUDITOR GENERAL, ,REP,Write-In Totals,2,1,1
Chester,730 WESTTOWN 3,STATE TREASURER, ,REP,STACY L GARRITY,319,125,194
Chester,730 WESTTOWN 3,STATE TREASURER, ,REP,Write-In Totals,4,1,3
Chester,730 WESTTOWN 3,U.S. House,6,REP,JOHN EMMONS,323,126,197
Chester,730 WESTTOWN 3,U.S. House,6,REP,Write-In Totals,6,1,5
Chester,730 WESTTOWN 3,State House,156,REP,LEN IACONO,313,123,190
Chester,730 WESTTOWN 3,State House,156,REP,Write-In Totals,5,1,4
Chester,733 WESTTOWN 4,Registered Voters, ,,Registered Voters - Total,"1,369",,
Chester,733 WESTTOWN 4,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,467,,
Chester,733 WESTTOWN 4,Registered Voters, ,REP,Registered Voters - REPUBLICAN,695,,
Chester,733 WESTTOWN 4,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,207,,
Chester,733 WESTTOWN 4,Ballots Cast, , , ,492,300,192
Chester,733 WESTTOWN 4,Ballots Cast, ,DEM, ,244,194,50
Chester,733 WESTTOWN 4,Ballots Cast, ,REP, ,248,106,142
Chester,733 WESTTOWN 4,Ballots Cast, ,NPA, ,0,0,0
Chester,733 WESTTOWN 4,President, ,DEM,BERNIE SANDERS,32,23,9
Chester,733 WESTTOWN 4,President, ,DEM,JOSEPH R BIDEN,206,170,36
Chester,733 WESTTOWN 4,President, ,DEM,TULSI GABBARD,3,0,3
Chester,733 WESTTOWN 4,President, ,DEM,Write-In Totals,2,1,1
Chester,733 WESTTOWN 4,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,220,178,42
Chester,733 WESTTOWN 4,ATTORNEY GENERAL, ,DEM,Write-In Totals,2,1,1
Chester,733 WESTTOWN 4,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,11,11,0
Chester,733 WESTTOWN 4,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,16,10,6
Chester,733 WESTTOWN 4,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,18,16,2
Chester,733 WESTTOWN 4,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,5,4,1
Chester,733 WESTTOWN 4,AUDITOR GENERAL, ,DEM,NINA AHMAD,99,76,23
Chester,733 WESTTOWN 4,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,75,66,9
Chester,733 WESTTOWN 4,AUDITOR GENERAL, ,DEM,Write-In Totals,1,0,1
Chester,733 WESTTOWN 4,STATE TREASURER, ,DEM,JOE TORSELLA,221,181,40
Chester,733 WESTTOWN 4,STATE TREASURER, ,DEM,Write-In Totals,3,1,2
Chester,733 WESTTOWN 4,U.S. House,6,DEM,CHRISSY HOULAHAN,230,188,42
Chester,733 WESTTOWN 4,U.S. House,6,DEM,Write-In Totals,2,1,1
Chester,733 WESTTOWN 4,State House,156,DEM,CAROLYN COMITTA,225,180,45
Chester,733 WESTTOWN 4,State House,156,DEM,Write-In Totals,2,2,0
Chester,733 WESTTOWN 4,President, ,REP,DONALD J TRUMP,183,63,120
Chester,733 WESTTOWN 4,President, ,REP,ROQUE ROCKY DE LA FUENTE,7,7,0
Chester,733 WESTTOWN 4,President, ,REP,BILL WELD,24,14,10
Chester,733 WESTTOWN 4,President, ,REP,Write-In Totals,24,16,8
Chester,733 WESTTOWN 4,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,215,86,129
Chester,733 WESTTOWN 4,ATTORNEY GENERAL, ,REP,Write-In Totals,4,4,0
Chester,733 WESTTOWN 4,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,213,89,124
Chester,733 WESTTOWN 4,AUDITOR GENERAL, ,REP,Write-In Totals,2,2,0
Chester,733 WESTTOWN 4,STATE TREASURER, ,REP,STACY L GARRITY,214,86,128
Chester,733 WESTTOWN 4,STATE TREASURER, ,REP,Write-In Totals,3,2,1
Chester,733 WESTTOWN 4,U.S. House,6,REP,JOHN EMMONS,216,88,128
Chester,733 WESTTOWN 4,U.S. House,6,REP,Write-In Totals,4,2,2
Chester,733 WESTTOWN 4,State House,156,REP,LEN IACONO,213,85,128
Chester,733 WESTTOWN 4,State House,156,REP,Write-In Totals,2,2,0
Chester,734 WESTTOWN 5,Registered Voters, ,,Registered Voters - Total,995,,
Chester,734 WESTTOWN 5,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,348,,
Chester,734 WESTTOWN 5,Registered Voters, ,REP,Registered Voters - REPUBLICAN,470,,
Chester,734 WESTTOWN 5,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,177,,
Chester,734 WESTTOWN 5,Ballots Cast, , , ,359,213,146
Chester,734 WESTTOWN 5,Ballots Cast, ,DEM, ,202,149,53
Chester,734 WESTTOWN 5,Ballots Cast, ,REP, ,157,64,93
Chester,734 WESTTOWN 5,Ballots Cast, ,NPA, ,0,0,0
Chester,734 WESTTOWN 5,President, ,DEM,BERNIE SANDERS,26,16,10
Chester,734 WESTTOWN 5,President, ,DEM,JOSEPH R BIDEN,164,123,41
Chester,734 WESTTOWN 5,President, ,DEM,TULSI GABBARD,2,2,0
Chester,734 WESTTOWN 5,President, ,DEM,Write-In Totals,7,6,1
Chester,734 WESTTOWN 5,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,184,138,46
Chester,734 WESTTOWN 5,ATTORNEY GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,734 WESTTOWN 5,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,7,6,1
Chester,734 WESTTOWN 5,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,11,10,1
Chester,734 WESTTOWN 5,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,14,11,3
Chester,734 WESTTOWN 5,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,6,5,1
Chester,734 WESTTOWN 5,AUDITOR GENERAL, ,DEM,NINA AHMAD,87,61,26
Chester,734 WESTTOWN 5,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,53,42,11
Chester,734 WESTTOWN 5,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,734 WESTTOWN 5,STATE TREASURER, ,DEM,JOE TORSELLA,181,138,43
Chester,734 WESTTOWN 5,STATE TREASURER, ,DEM,Write-In Totals,1,1,0
Chester,734 WESTTOWN 5,U.S. House,6,DEM,CHRISSY HOULAHAN,193,143,50
Chester,734 WESTTOWN 5,U.S. House,6,DEM,Write-In Totals,0,0,0
Chester,734 WESTTOWN 5,State House,156,DEM,CAROLYN COMITTA,193,144,49
Chester,734 WESTTOWN 5,State House,156,DEM,Write-In Totals,1,0,1
Chester,734 WESTTOWN 5,President, ,REP,DONALD J TRUMP,118,43,75
Chester,734 WESTTOWN 5,President, ,REP,ROQUE ROCKY DE LA FUENTE,8,5,3
Chester,734 WESTTOWN 5,President, ,REP,BILL WELD,8,5,3
Chester,734 WESTTOWN 5,President, ,REP,Write-In Totals,14,6,8
Chester,734 WESTTOWN 5,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,141,56,85
Chester,734 WESTTOWN 5,ATTORNEY GENERAL, ,REP,Write-In Totals,2,1,1
Chester,734 WESTTOWN 5,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,141,55,86
Chester,734 WESTTOWN 5,AUDITOR GENERAL, ,REP,Write-In Totals,1,1,0
Chester,734 WESTTOWN 5,STATE TREASURER, ,REP,STACY L GARRITY,142,56,86
Chester,734 WESTTOWN 5,STATE TREASURER, ,REP,Write-In Totals,1,1,0
Chester,734 WESTTOWN 5,U.S. House,6,REP,JOHN EMMONS,144,57,87
Chester,734 WESTTOWN 5,U.S. House,6,REP,Write-In Totals,1,1,0
Chester,734 WESTTOWN 5,State House,156,REP,LEN IACONO,139,55,84
Chester,734 WESTTOWN 5,State House,156,REP,Write-In Totals,1,1,0
Chester,735 E WHITELAND 1,Registered Voters, ,,Registered Voters - Total,"1,005",,
Chester,735 E WHITELAND 1,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,452,,
Chester,735 E WHITELAND 1,Registered Voters, ,REP,Registered Voters - REPUBLICAN,365,,
Chester,735 E WHITELAND 1,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,188,,
Chester,735 E WHITELAND 1,Ballots Cast, , , ,338,228,110
Chester,735 E WHITELAND 1,Ballots Cast, ,DEM, ,215,159,56
Chester,735 E WHITELAND 1,Ballots Cast, ,REP, ,123,69,54
Chester,735 E WHITELAND 1,Ballots Cast, ,NPA, ,0,0,0
Chester,735 E WHITELAND 1,President, ,DEM,BERNIE SANDERS,22,14,8
Chester,735 E WHITELAND 1,President, ,DEM,JOSEPH R BIDEN,184,137,47
Chester,735 E WHITELAND 1,President, ,DEM,TULSI GABBARD,1,0,1
Chester,735 E WHITELAND 1,President, ,DEM,Write-In Totals,4,4,0
Chester,735 E WHITELAND 1,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,192,141,51
Chester,735 E WHITELAND 1,ATTORNEY GENERAL, ,DEM,Write-In Totals,1,1,0
Chester,735 E WHITELAND 1,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,5,1,4
Chester,735 E WHITELAND 1,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,14,11,3
Chester,735 E WHITELAND 1,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,5,3,2
Chester,735 E WHITELAND 1,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,4,4,0
Chester,735 E WHITELAND 1,AUDITOR GENERAL, ,DEM,NINA AHMAD,71,53,18
Chester,735 E WHITELAND 1,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,82,59,23
Chester,735 E WHITELAND 1,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,735 E WHITELAND 1,STATE TREASURER, ,DEM,JOE TORSELLA,190,139,51
Chester,735 E WHITELAND 1,STATE TREASURER, ,DEM,Write-In Totals,0,0,0
Chester,735 E WHITELAND 1,U.S. House,6,DEM,CHRISSY HOULAHAN,203,150,53
Chester,735 E WHITELAND 1,U.S. House,6,DEM,Write-In Totals,0,0,0
Chester,735 E WHITELAND 1,State House,167,DEM,KRISTINE HOWARD,156,113,43
Chester,735 E WHITELAND 1,State House,167,DEM,GINNY KERSLAKE,44,32,12
Chester,735 E WHITELAND 1,State House,167,DEM,Write-In Totals,1,1,0
Chester,735 E WHITELAND 1,President, ,REP,DONALD J TRUMP,84,43,41
Chester,735 E WHITELAND 1,President, ,REP,ROQUE ROCKY DE LA FUENTE,4,1,3
Chester,735 E WHITELAND 1,President, ,REP,BILL WELD,15,9,6
Chester,735 E WHITELAND 1,President, ,REP,Write-In Totals,13,9,4
Chester,735 E WHITELAND 1,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,101,51,50
Chester,735 E WHITELAND 1,ATTORNEY GENERAL, ,REP,Write-In Totals,3,3,0
Chester,735 E WHITELAND 1,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,102,53,49
Chester,735 E WHITELAND 1,AUDITOR GENERAL, ,REP,Write-In Totals,1,1,0
Chester,735 E WHITELAND 1,STATE TREASURER, ,REP,STACY L GARRITY,103,54,49
Chester,735 E WHITELAND 1,STATE TREASURER, ,REP,Write-In Totals,1,1,0
Chester,735 E WHITELAND 1,U.S. House,6,REP,JOHN EMMONS,112,62,50
Chester,735 E WHITELAND 1,U.S. House,6,REP,Write-In Totals,1,1,0
Chester,735 E WHITELAND 1,State House,167,REP,WENDY GRAHAM LELAND,103,59,44
Chester,735 E WHITELAND 1,State House,167,REP,Write-In Totals,5,0,5
Chester,740 E WHITELAND 2,Registered Voters, ,,Registered Voters - Total,"1,968",,
Chester,740 E WHITELAND 2,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,897,,
Chester,740 E WHITELAND 2,Registered Voters, ,REP,Registered Voters - REPUBLICAN,678,,
Chester,740 E WHITELAND 2,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,393,,
Chester,740 E WHITELAND 2,Ballots Cast, , , ,614,431,183
Chester,740 E WHITELAND 2,Ballots Cast, ,DEM, ,435,332,103
Chester,740 E WHITELAND 2,Ballots Cast, ,REP, ,179,99,80
Chester,740 E WHITELAND 2,Ballots Cast, ,NPA, ,0,0,0
Chester,740 E WHITELAND 2,President, ,DEM,BERNIE SANDERS,75,45,30
Chester,740 E WHITELAND 2,President, ,DEM,JOSEPH R BIDEN,340,277,63
Chester,740 E WHITELAND 2,President, ,DEM,TULSI GABBARD,6,3,3
Chester,740 E WHITELAND 2,President, ,DEM,Write-In Totals,9,6,3
Chester,740 E WHITELAND 2,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,400,310,90
Chester,740 E WHITELAND 2,ATTORNEY GENERAL, ,DEM,Write-In Totals,5,4,1
Chester,740 E WHITELAND 2,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,12,9,3
Chester,740 E WHITELAND 2,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,18,15,3
Chester,740 E WHITELAND 2,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,23,22,1
Chester,740 E WHITELAND 2,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,13,6,7
Chester,740 E WHITELAND 2,AUDITOR GENERAL, ,DEM,NINA AHMAD,166,117,49
Chester,740 E WHITELAND 2,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,160,134,26
Chester,740 E WHITELAND 2,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,740 E WHITELAND 2,STATE TREASURER, ,DEM,JOE TORSELLA,398,307,91
Chester,740 E WHITELAND 2,STATE TREASURER, ,DEM,Write-In Totals,0,0,0
Chester,740 E WHITELAND 2,U.S. House,6,DEM,CHRISSY HOULAHAN,417,326,91
Chester,740 E WHITELAND 2,U.S. House,6,DEM,Write-In Totals,1,0,1
Chester,740 E WHITELAND 2,State House,167,DEM,KRISTINE HOWARD,338,261,77
Chester,740 E WHITELAND 2,State House,167,DEM,GINNY KERSLAKE,81,62,19
Chester,740 E WHITELAND 2,State House,167,DEM,Write-In Totals,1,0,1
Chester,740 E WHITELAND 2,President, ,REP,DONALD J TRUMP,134,66,68
Chester,740 E WHITELAND 2,President, ,REP,ROQUE ROCKY DE LA FUENTE,5,0,5
Chester,740 E WHITELAND 2,President, ,REP,BILL WELD,26,20,6
Chester,740 E WHITELAND 2,President, ,REP,Write-In Totals,9,8,1
Chester,740 E WHITELAND 2,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,164,88,76
Chester,740 E WHITELAND 2,ATTORNEY GENERAL, ,REP,Write-In Totals,2,1,1
Chester,740 E WHITELAND 2,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,162,87,75
Chester,740 E WHITELAND 2,AUDITOR GENERAL, ,REP,Write-In Totals,2,1,1
Chester,740 E WHITELAND 2,STATE TREASURER, ,REP,STACY L GARRITY,164,88,76
Chester,740 E WHITELAND 2,STATE TREASURER, ,REP,Write-In Totals,2,1,1
Chester,740 E WHITELAND 2,U.S. House,6,REP,JOHN EMMONS,165,90,75
Chester,740 E WHITELAND 2,U.S. House,6,REP,Write-In Totals,2,1,1
Chester,740 E WHITELAND 2,State House,167,REP,WENDY GRAHAM LELAND,161,87,74
Chester,740 E WHITELAND 2,State House,167,REP,Write-In Totals,2,1,1
Chester,745 E WHITELAND 3,Registered Voters, ,,Registered Voters - Total,"1,168",,
Chester,745 E WHITELAND 3,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,589,,
Chester,745 E WHITELAND 3,Registered Voters, ,REP,Registered Voters - REPUBLICAN,429,,
Chester,745 E WHITELAND 3,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,150,,
Chester,745 E WHITELAND 3,Ballots Cast, , , ,491,361,130
Chester,745 E WHITELAND 3,Ballots Cast, ,DEM, ,355,297,58
Chester,745 E WHITELAND 3,Ballots Cast, ,REP, ,136,64,72
Chester,745 E WHITELAND 3,Ballots Cast, ,NPA, ,0,0,0
Chester,745 E WHITELAND 3,President, ,DEM,BERNIE SANDERS,68,55,13
Chester,745 E WHITELAND 3,President, ,DEM,JOSEPH R BIDEN,282,238,44
Chester,745 E WHITELAND 3,President, ,DEM,TULSI GABBARD,1,1,0
Chester,745 E WHITELAND 3,President, ,DEM,Write-In Totals,2,2,0
Chester,745 E WHITELAND 3,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,319,268,51
Chester,745 E WHITELAND 3,ATTORNEY GENERAL, ,DEM,Write-In Totals,2,0,2
Chester,745 E WHITELAND 3,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,5,4,1
Chester,745 E WHITELAND 3,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,12,10,2
Chester,745 E WHITELAND 3,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,26,23,3
Chester,745 E WHITELAND 3,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,9,6,3
Chester,745 E WHITELAND 3,AUDITOR GENERAL, ,DEM,NINA AHMAD,121,97,24
Chester,745 E WHITELAND 3,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,155,137,18
Chester,745 E WHITELAND 3,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,745 E WHITELAND 3,STATE TREASURER, ,DEM,JOE TORSELLA,318,270,48
Chester,745 E WHITELAND 3,STATE TREASURER, ,DEM,Write-In Totals,2,0,2
Chester,745 E WHITELAND 3,U.S. House,6,DEM,CHRISSY HOULAHAN,337,283,54
Chester,745 E WHITELAND 3,U.S. House,6,DEM,Write-In Totals,0,0,0
Chester,745 E WHITELAND 3,State House,167,DEM,KRISTINE HOWARD,269,226,43
Chester,745 E WHITELAND 3,State House,167,DEM,GINNY KERSLAKE,69,61,8
Chester,745 E WHITELAND 3,State House,167,DEM,Write-In Totals,1,0,1
Chester,745 E WHITELAND 3,President, ,REP,DONALD J TRUMP,103,37,66
Chester,745 E WHITELAND 3,President, ,REP,ROQUE ROCKY DE LA FUENTE,3,3,0
Chester,745 E WHITELAND 3,President, ,REP,BILL WELD,22,18,4
Chester,745 E WHITELAND 3,President, ,REP,Write-In Totals,5,4,1
Chester,745 E WHITELAND 3,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,124,58,66
Chester,745 E WHITELAND 3,ATTORNEY GENERAL, ,REP,Write-In Totals,1,1,0
Chester,745 E WHITELAND 3,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,124,59,65
Chester,745 E WHITELAND 3,AUDITOR GENERAL, ,REP,Write-In Totals,1,1,0
Chester,745 E WHITELAND 3,STATE TREASURER, ,REP,STACY L GARRITY,125,59,66
Chester,745 E WHITELAND 3,STATE TREASURER, ,REP,Write-In Totals,1,1,0
Chester,745 E WHITELAND 3,U.S. House,6,REP,JOHN EMMONS,126,58,68
Chester,745 E WHITELAND 3,U.S. House,6,REP,Write-In Totals,1,1,0
Chester,745 E WHITELAND 3,State House,167,REP,WENDY GRAHAM LELAND,126,58,68
Chester,745 E WHITELAND 3,State House,167,REP,Write-In Totals,1,1,0
